 LIST OF OBSOLETE COORDINATE ENTRIES AND SUCCESSORS
OBSLTE    13-MAR-02 1BUR     1IR1
OBSLTE    09-DEC-98 1BV0     1B27
OBSLTE    24-JAN-00 1BV5     1DRQ
OBSLTE    24-JAN-00 1BV6     1DRM
OBSLTE    19-JUN-07 1BXJ     2V1V
OBSLTE    11-FEB-15 1BYK     4XXH
OBSLTE    03-JUN-03 1BYT     1NO3
OBSLTE    29-MAR-00 1C00     1C7I
OBSLTE    05-JUL-05 1C0D     1VRX
OBSLTE    09-AUG-99 1C0H     1C40
OBSLTE    18-APR-01 1C13     1IAV
OBSLTE    02-FEB-84 1C2C     2C2C
OBSLTE    15-MAY-00 1C4J     1EXY
OBSLTE    02-FEB-00 1C59     1DV4
OBSLTE    14-JUN-02 1C9R     1J5O
OBSLTE    02-FEB-84 1CAB     2CAB
OBSLTE    15-JAN-90 1CAC     1CA2
OBSLTE    08-DEC-96 1CAE     2CAE
OBSLTE    11-JAN-97 1CAF     2CAH
OBSLTE    21-OCT-82 1CAT     3CAT
OBSLTE    21-APR-97 1CBP     2CBP
OBSLTE    24-MAY-00 1CBZ     1EYY
OBSLTE    15-JUL-98 1CCO     2CCO
OBSLTE    21-JAN-86 1CCY     2CCY
OBSLTE    30-APR-94 1CD4     1CDH
OBSLTE    02-FEB-84 1CDV     2CDV
OBSLTE    23-APR-01 1CF6     1HUO
OBSLTE    29-APR-98 1CFO     1NEW
OBSLTE    31-JAN-01 1CH6     1HWX
OBSLTE    03-DEC-97 1CHB     2CHB
OBSLTE    13-JAN-09 1CHR     
OBSLTE    07-SEP-88 1CI2     2CI2
OBSLTE    15-MAY-97 1CJN     2CJN
OBSLTE    15-MAY-97 1CJO     2CJO
OBSLTE    25-JUL-06 1CK5     1T0K
OBSLTE    25-JUL-06 1CK8     1T0K
OBSLTE    25-JUL-06 1CK9     1CN7
OBSLTE    16-JUL-88 1CLN     3CLN
OBSLTE    09-FEB-10 1CMW     
OBSLTE    25-JUL-06 1CN8     1T0K
OBSLTE    25-JUL-06 1CN9     1T0K
OBSLTE    20-APR-95 1CND     2CND
OBSLTE    24-MAY-00 1CO3     1EZ0
OBSLTE    24-SEP-99 1COQ     
OBSLTE    31-OCT-93 1COX     3COX
OBSLTE    29-JUL-82 1CPA     3CPA
OBSLTE    15-JAN-93 1CPK     2CPK
OBSLTE    16-JUL-87 1CPP     2CPP
OBSLTE    15-OCT-90 1CPV     5CPV
OBSLTE    20-MAR-00 1CQB     1EKH
OBSLTE    17-JUN-98 1CRO     5CRO
OBSLTE    25-FEB-98 1CT3     4CAA
OBSLTE    20-OCT-00 1CT7     1E8R
OBSLTE    24-DEC-97 1CTH     2CTH
