,sdi
1170,117161
1171,859646
1172,458446
1173,42041
1174,120001
1175,412123
1176,672747
1177,840030
1178,238095
1179,61140
1180,383079
1181,41391
1182,298509
1183,429400
1184,365603
1185,48923
1186,171989
1187,736530
1188,35786
1189,789644
1190,131524
1191,306375
1192,738474
1193,846388
1194,128336
1195,765273
1196,464144
1197,43930
1198,298956
1199,195407
1200,653161
1201,844880
1202,58677
1203,389053
1204,225499
1205,101937
1206,127526
1207,849975
1208,448884
1209,387188
1210,113103
1211,775529
1212,41358
1213,331145
1214,762619
1215,563949
1216,240862
1217,822028
1218,445526
1219,308955
1220,55305
1221,528923
1222,210431
1223,297563
1224,298506
1225,62676
1226,476737
1227,747710
1228,37738
1229,656443
1230,436064
1231,458758
1232,594581
1233,786564
1234,269211
1235,244061
1236,102592
1237,570419
1238,547369
1239,739460
1240,45180
1241,340157
1242,437484
1243,344826
1244,124795
1245,196472
1246,410733
1247,312659
1248,587591
1249,198587
1250,133220
1251,486970
1252,327824
1253,322289
1254,284487
1255,428689
1256,14595
1257,422177
1258,348798
1259,320971
1260,201812
1261,158552
1262,82133
1263,557569
1264,833252
1265,798445
1266,17580
1267,36117
1268,225705
1269,633799
1270,571299
1271,764944
1272,336048
1273,563532
1274,425082
1275,435475
1276,118128
1277,238429
1278,796933
1279,127570
1280,817155
1281,245878
1282,442880
1283,448899
1284,165231
1285,635007
1286,827025
1287,763247
1288,267626
1289,267101
1290,739453
1291,333620
1292,631642
1293,690893
1294,145774
1295,266263
1296,751506
1297,264515
1298,826532
1299,327718
1300,755583
1301,865639
1302,277007
1303,822659
1304,418792
1305,435541
1306,855840
1307,7999
1308,530644
1309,744917
1310,789942
1311,335998
1312,2894
1313,151428
1314,154286
1315,747729
1316,624358
1317,840867
1318,529094
1319,759078
1320,277098
1321,393880
1322,91805
1323,469669
1324,94085
1325,478315
1326,248207
1327,575136
1328,8004
1329,137668
1330,756034
1331,801748
1332,757781
1333,205322
1334,320057
1335,407048
1336,423392
1337,294871
1338,769057
1339,126077
1340,764368
1341,108019
1342,811665
1343,9171
1344,31468
1345,361062
1346,278461
1347,409520
1348,129189
1349,713048
1350,67947
1351,392776
1352,854999
1353,424582
1354,249051
1355,31918
1356,794780
1357,773584
1358,654634
1359,614889
1360,316414
1361,325233
1362,806643
1363,862852
1364,240591
1365,800461
1366,821800
1367,660797
1368,442454
1369,699332
1370,102951
1371,193041
1372,771792
1373,708053
1374,664476
1375,548092
1376,33934
1377,751614
1378,150520
1379,157792
1380,397106
1381,377757
1382,22859
1383,169322
1384,12249
1385,276885
1386,286853
1387,517677
1388,324779
1389,171094
1390,287841
1391,451538
1392,421534
1393,744239
1394,78606
1395,134422
1396,128719
1397,551680
1398,467776
1399,565781
1400,839621
1401,833355
1402,832713
1403,241100
1404,710123
1405,518503
1406,20469
1407,530139
1408,100928
1409,485021
1410,799739
1411,792163
1412,754538
1413,92252
1414,818943
1415,775209
1416,647859
1417,729886
1418,146133
1419,750977
1420,160065
1421,797591
1422,85913
1423,532796
1424,402767
1425,708419
1426,79732
1427,631222
1428,401238
1429,563146
1430,739083
1431,446763
1432,487077
1433,394359
1434,377783
1435,414264
1436,697741
1437,195240
1438,144182
1439,848409
1440,51384
1441,686802
1442,152494
1443,733784
1444,145475
1445,692693
1446,246726
1447,78152
1448,251194
1449,824965
1450,174431
1451,789857
1452,568142
1453,309068
1454,862798
1455,302345
1456,402333
1457,146587
1458,265102
1459,688548
1460,665001
1461,691405
1462,372302
1463,562823
1464,454551
1465,428210
1466,413409
1467,240206
1468,217398
1469,678991
1470,493233
1471,196971
1472,650878
1473,299213
1474,712469
1475,655942
1476,156317
1477,95783
1478,817050
1479,316541
1480,28227
1481,211153
1482,363912
1483,709784
1484,478372
1485,551409
1486,754808
1487,19579
1488,731777
1489,450268
1490,722876
1491,330038
1492,482158
1493,449848
1494,271050
1495,449722
1496,92313
1497,637347
1498,593885
1499,48330
1500,732324
1501,11113
1502,775016
1503,679622
1504,856950
1505,186747
1506,384930
1507,12955
1508,310404
1509,770176
1510,826979
1511,486924
1512,51644
1513,188307
1514,809347
1515,808478
1516,714739
1517,868140
1518,30695
1519,425866
1520,165755
1521,424649
1522,317103
1523,268501
1524,797992
1525,177034
1526,663172
1527,273536
1528,130927
1529,761653
1530,32396
1531,804896
1532,857667
1533,333319
1534,78142
1535,662563
1536,250785
1537,519269
1538,496830
1539,465951
1540,61865
1541,298856
1542,247873
1543,680627
1544,96467
1545,829442
1546,375549
1547,378461
1548,307553
1549,400849
1550,628057
1551,376294
1552,628722
1553,18948
1554,154373
1555,34059
1556,493237
1557,64982
1558,590335
1559,98365
1560,38794
1561,240391
1562,709813
1563,841178
1564,219187
1565,204093
1566,53328
1567,765634
1568,120889
1569,223948
1570,439241
1571,271440
1572,838633
1573,292972
1574,344964
1575,69821
1576,156017
1577,793600
1578,661252
1579,497586
1580,270886
1581,527174
1582,338435
1583,92277
1584,327729
1585,556286
1586,181071
1587,750609
1588,345778
1589,100366
1590,523464
1591,361994
1592,286406
1593,205147
1594,195953
1595,117090
1596,578491
1597,794380
1598,767572
1599,391412
1600,587674
1601,709937
1602,270415
1603,288686
1604,336605
1605,523943
1606,318183
1607,154533
1608,295358
1609,249134
1610,816999
1611,707770
1612,803296
1613,308693
1614,327825
1615,249152
1616,143121
1617,753428
1618,698249
1619,74552
1620,190300
1621,787694
1622,663946
1623,47381
1624,104496
1625,345141
1626,796085
1627,669175
1628,582614
1629,27222
1630,411733
1631,81060
1632,123607
1633,523487
1634,612680
1635,75106
1636,399186
1637,132291
1638,29625
1639,866835
1640,565549
1641,476451
1642,734936
1643,462549
1644,730222
1645,865017
1646,142256
1647,495348
1648,751736
1649,583493
1650,340468
1651,379037
1652,374752
1653,63495
1654,611545
1655,526763
1656,159735
1657,138132
1658,249614
1659,295675
1660,120048
1661,665899
1662,364547
1663,132404
1664,832596
1665,42760
1666,316707
1667,169233
1668,812734
1669,413522
1670,745714
1671,735125
1672,154302
1673,698952
1674,305586
1675,86506
1676,291100
1677,819556
1678,415550
1679,261136
1680,472127
1681,366235
1682,297945
1683,654298
1684,299983
1685,662418
1686,271051
1687,759326
1688,374988
1689,803914
1690,470468
1691,393878
1692,404706
1693,573407
1694,547934
1695,773310
1696,432795
1697,551034
1698,59319
1699,807047
1700,641955
1701,826338
1702,566897
1703,288574
1704,490588
1705,700124
1706,796360
1707,762689
1708,42727
1709,143091
1710,311542
1711,446551
1712,752784
1713,222079
1714,90667
1715,108629
1716,615008
1717,196137
1718,235943
1719,323876
1720,712093
1721,683094
1722,767151
1723,276715
1724,776542
1725,454183
1726,642808
1727,41320
1728,128220
1729,289913
1730,153716
1731,158614
1732,126390
1733,453555
1734,472212
1735,772590
1736,463974
1737,16710
1738,869942
1739,284357
1740,51765
1741,279548
1742,781929
1743,697328
1744,259081
1745,26276
1746,457525
1747,519215
1748,783682
1749,813751
1750,49536
1751,185323
1752,629080
1753,101467
1754,531660
1755,135318
1756,232522
1757,652745
1758,153701
1759,834275
1760,702130
1761,19908
1762,815297
1763,520786
1764,211693
1765,44280
1766,632062
1767,16517
1768,853752
1769,340996
1770,308093
1771,101713
1772,244842
1773,32132
1774,143138
1775,86932
1776,798592
1777,748820
1778,235330
1779,820540
1780,102932
1781,201380
1782,248346
1783,769936
1784,706770
1785,452110
1786,144918
1787,234621
1788,632669
1789,797562
1790,212791
1791,745996
1792,354764
1793,238731
1794,113795
1795,450525
1796,551023
1797,822816
1798,466751
1799,799743
1800,765459
1801,65211
1802,759404
1803,342459
1804,259037
1805,872712
1806,265068
1807,860534
1808,112325
1809,82388
1810,142042
1811,568008
1812,699211
1813,106273
1814,420394
1815,159293
1816,175107
1817,284347
1818,123121
1819,589657
1820,80253
1821,675074
1822,282416
1823,155193
1824,400014
1825,367805
1826,457428
1827,470160
1828,74434
1829,191717
1830,342622
1831,240631
1832,570260
1833,212302
1834,459647
1835,316079
1836,764846
1837,549401
1838,799424
1839,141994
1840,658491
1841,114612
1842,471061
1843,855593
1844,843376
1845,145172
1846,252381
1847,145396
1848,693384
1849,375237
1850,414998
1851,259839
1852,177890
1853,364207
1854,753947
1855,656426
1856,766911
1857,753849
1858,318944
1859,474360
1860,586681
1861,585583
1862,814768
1863,831379
1864,250152
1865,335512
1866,324754
1867,843532
1868,407182
1869,288365
1870,446777
1871,565413
1872,523174
1873,170962
1874,523844
1875,173643
1876,327856
1877,333390
1878,838569
1879,650830
1880,241702
1881,445687
1882,349037
1883,640392
1884,745749
1885,455230
1886,107723
1887,872352
1888,372341
1889,689698
1890,591625
1891,620706
1892,771302
1893,124637
1894,781760
1895,64679
1896,391923
1897,64949
1898,798239
1899,484185
1900,571657
1901,291362
1902,87300
1903,804574
1904,739415
1905,829250
1906,321373
1907,272273
1908,127876
1909,569451
1910,39378
1911,85608
1912,272531
1913,153348
1914,768640
1915,815935
1916,386600
1917,480715
1918,111420
1919,143425
1920,412307
1921,221809
1922,103966
1923,654280
1924,453620
1925,62774
1926,653667
1927,318862
1928,324368
1929,631652
1930,253481
1931,126364
1932,204005
1933,676548
1934,664373
1935,480290
1936,860683
1937,222699
1938,240944
1939,389160
1940,816184
1941,742787
1942,487878
1943,783944
1944,621584
1945,680993
1946,839108
1947,190212
1948,144299
1949,66713
1950,665312
1951,709578
1952,471816
1953,219604
1954,819748
1955,385117
1956,730447
1957,158536
1958,809914
1959,153424
1960,692729
1961,469969
1962,566339
1963,779220
1964,385835
1965,414362
1966,10908
1967,18722
1968,618291
1969,651739
1970,623452
1971,389269
1972,686339
1973,54504
1974,337844
1975,357363
1976,66507
1977,158388
1978,729356
1979,239447
1980,373732
1981,634602
1982,829307
1983,484271
1984,441028
1985,272696
1986,662499
1987,270326
1988,729353
1989,792169
1990,237937
1991,841956
1992,57346
1993,326330
1994,784571
1995,632840
1996,88023
1997,235906
1998,564204
1999,810266
2000,412342
2001,86823
2002,224255
2003,113947
2004,723231
2005,195502
2006,409211
2007,99176
2008,198628
2009,74858
2010,495483
2011,241525
2012,298754
2013,413333
2014,83834
2015,399743
2016,849351
2017,437598
2018,873059
2019,46254
2020,442817
2021,145647
2022,170131
2023,802335
2024,673603
2025,352463
2026,178466
2027,754747
2028,282103
2029,748044
2030,183308
2031,427170
2032,685640
2033,60511
2034,859642
2035,295748
2036,768370
2037,250774
2038,76892
2039,731004
2040,857074
2041,407069
2042,138345
2043,826278
2044,589232
2045,130926
2046,87484
2047,642613
2048,413829
2049,195937
2050,287139
2051,791663
2052,693290
2053,743950
2054,259268
2055,567581
2056,271320
2057,373014
2058,336479
2059,821612
2060,62296
2061,155181
2062,231832
2063,669486
2064,101456
2065,202461
2066,219554
2067,364181
2068,732878
2069,736667
2070,575066
2071,652886
2072,638233
2073,575128
2074,476759
2075,211410
2076,149976
2077,623564
2078,310830
2079,442183
2080,45911
2081,43132
2082,594808
2083,434063
2084,124924
2085,570731
2086,868604
2087,52170
2088,787168
2089,639153
2090,615137
2091,742278
2092,354686
2093,5531
2094,60855
2095,462119
2096,322018
2097,685812
2098,820029
2099,343731
2100,569622
2101,305014
2102,288312
2103,633543
2104,13829
2105,654875
2106,553048
2107,700193
2108,723362
2109,446145
2110,400152
2111,321227
2112,291582
2113,469743
2114,36666
2115,124052
2116,628205
2117,398795
2118,593795
2119,618633
2120,158570
2121,6231
2122,239381
2123,633314
2124,736762
2125,164470
2126,760339
2127,51594
2128,316970
2129,747023
2130,589124
2131,833697
2132,723195
2133,736780
2134,44850
2135,303623
2136,611872
2137,749808
2138,397655
2139,62058
2140,46871
2141,756910
2142,80146
2143,87474
2144,179718
2145,310461
2146,278500
2147,850559
2148,199056
2149,426721
2150,651289
2151,781902
2152,564265
2153,701583
2154,179634
2155,623610
2156,308493
2157,262163
2158,397737
2159,29007
2160,16814
2161,692370
2162,814873
2163,376271
2164,793286
2165,531185
2166,50427
2167,127216
2168,709615
2169,188397
2170,635577
2171,864825
2172,638545
2173,736892
2174,782555
2175,196530
2176,322684
2177,648316
2178,162960
2179,568408
2180,456032
2181,655935
2182,548979
2183,354780
2184,118251
2185,768430
2186,740957
2187,465548
2188,250289
2189,655001
2190,63911
2191,201583
2192,421883
2193,187975
2194,238971
2195,562828
2196,797284
2197,303029
2198,51539
2199,767852
2200,482724
2201,393012
2202,828016
2203,812829
2204,136845
2205,592544
2206,286082
2207,397463
2208,626893
2209,709266
2210,364399
2211,48335
2212,83111
2213,641779
2214,101206
2215,786455
2216,414959
2217,563764
2218,167256
2219,557623
2220,147662
2221,833591
2222,844489
2223,95296
2224,38465
2225,368650
2226,27145
2227,26578
2228,415841
2229,118938
2230,692803
2231,862437
2232,289433
2233,588916
2234,748005
2235,805693
2236,813164
2237,350015
2238,61045
2239,459767
2240,199349
2241,48191
2242,770911
2243,100767
2244,86582
2245,134885
2246,785305
2247,58381
2248,835787
2249,452414
2250,98765
2251,333303
2252,276879
2253,71200
2254,323428
2255,95165
2256,788082
2257,778731
2258,522860
2259,363985
2260,586720
2261,522856
2262,743023
2263,359715
2264,356780
2265,236942
2266,78618
2267,773464
2268,388609
2269,734988
2270,379846
2271,797737
2272,68612
2273,442642
2274,651463
2275,832008
2276,760269
2277,114888
2278,816628
2279,457474
2280,117639
2281,530764
2282,369131
2283,679258
2284,799610
2285,388817
2286,559585
2287,39030
2288,523264
2289,30192
2290,310998
2291,152850
2292,742933
2293,24058
2294,415791
2295,742372
2296,780378
2297,58250
2298,273542
2299,594044
2300,160775
2301,470100
2302,219835
2303,70982
2304,749976
2305,714614
2306,370337
2307,801117
2308,668997
2309,309078
2310,351587
2311,714469
2312,216845
2313,141475
2314,341735
2315,101360
2316,212493
2317,126871
2318,865961
2319,336173
2320,36458
2321,791691
2322,676845
2323,765942
2324,330944
2325,180101
2326,634311
2327,197796
2328,420682
2329,823972
2330,54526
2331,559657
2332,811677
2333,308933
2334,203391
2335,673837
2336,62766
2337,218360
2338,111116
2339,642035
2340,559543
2341,460040
2342,732422
2343,522318
2344,602804
2345,428637
2346,493236
2347,649651
2348,273962
2349,634617
2350,361872
2351,224772
2352,801131
2353,98451
2354,449108
2355,420599
2356,488060
2357,841468
2358,582052
2359,698151
2360,348852
2361,381145
2362,297773
2363,448700
2364,859722
2365,442930
2366,323170
2367,488189
2368,80225
2369,216196
2370,850048
